INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,VALUE,OPR_INTERVAL,GROUP
2022-07-15T16:45:00-00:00,2022-07-15T16:50:00-00:00,2022-07-15,10,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,14.65569,10,1
2022-07-15T16:50:00-00:00,2022-07-15T16:55:00-00:00,2022-07-15,10,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,12.83208,11,1
2022-07-15T16:55:00-00:00,2022-07-15T17:00:00-00:00,2022-07-15,10,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,14.22515,12,1
2022-07-15T17:00:00-00:00,2022-07-15T17:05:00-00:00,2022-07-15,11,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,19.02137,1,1
2022-07-15T17:05:00-00:00,2022-07-15T17:10:00-00:00,2022-07-15,11,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,20.92707,2,1
2022-07-15T17:10:00-00:00,2022-07-15T17:15:00-00:00,2022-07-15,11,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,19.60741,3,1
2022-07-15T17:15:00-00:00,2022-07-15T17:20:00-00:00,2022-07-15,11,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,19.30459,4,1
2022-07-15T17:20:00-00:00,2022-07-15T17:25:00-00:00,2022-07-15,11,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,18.40293,5,1
2022-07-15T17:25:00-00:00,2022-07-15T17:30:00-00:00,2022-07-15,11,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,18.4107,6,1
2022-07-15T17:30:00-00:00,2022-07-15T17:35:00-00:00,2022-07-15,11,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,17.81407,7,1
2022-07-15T17:35:00-00:00,2022-07-15T17:40:00-00:00,2022-07-15,11,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,12.7685,8,1
2022-07-15T17:40:00-00:00,2022-07-15T17:45:00-00:00,2022-07-15,11,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,12.70469,9,1
2022-07-15T17:45:00-00:00,2022-07-15T17:50:00-00:00,2022-07-15,11,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,13.08941,10,1
2022-07-15T17:50:00-00:00,2022-07-15T17:55:00-00:00,2022-07-15,11,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,12.74796,11,1
2022-07-15T17:55:00-00:00,2022-07-15T18:00:00-00:00,2022-07-15,11,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,12.30029,12,1
2022-07-15T18:00:00-00:00,2022-07-15T18:05:00-00:00,2022-07-15,12,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,23.64909,1,1
2022-07-15T18:05:00-00:00,2022-07-15T18:10:00-00:00,2022-07-15,12,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,23.82508,2,1
2022-07-15T18:10:00-00:00,2022-07-15T18:15:00-00:00,2022-07-15,12,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,23.45189,3,1
2022-07-15T18:15:00-00:00,2022-07-15T18:20:00-00:00,2022-07-15,12,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,22.66172,4,1
2022-07-15T18:20:00-00:00,2022-07-15T18:25:00-00:00,2022-07-15,12,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,23.47543,5,1
2022-07-15T18:25:00-00:00,2022-07-15T18:30:00-00:00,2022-07-15,12,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,22.73474,6,1
2022-07-15T18:30:00-00:00,2022-07-15T18:35:00-00:00,2022-07-15,12,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,5.59889,7,1
